timepoint,well,condition,condition_tag,Mg++ [mM],T7RNAP [ng/uL],ribosome [uM],DNA [nM],energy_mix,protein_mix,fluorescence [AU],background_fluorescence [AU],background_subtracted_fluorescence [AU],row,column
1,G:9,exp,exp,12,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1475455,1589516.5,-114061.5,G,9
1,G:11,exp,exp,14,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1554356,1589516.5,-35160.5,G,11
1,G:13,exp,exp,16,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1586214,1589516.5,-3302.5,G,13
1,G:15,exp,exp,18,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1573590,1589516.5,-15926.5,G,15
1,G:17,exp,exp,20,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1557849,1589516.5,-31667.5,G,17
1,G:19,exp,exp,22,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1464400,1589516.5,-125116.5,G,19
1,G:21,exp,exp,24,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1537230,1589516.5,-52286.5,G,21
1,G:23,exp,exp,26,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1388541,1589516.5,-200975.5,G,23
1,I:1,exp,exp,4,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1475450,1589516.5,-114066.5,I,1
1,I:3,exp,exp,6,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1453539,1589516.5,-135977.5,I,3
1,I:5,exp,exp,8,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1512068,1589516.5,-77448.5,I,5
1,I:7,exp,exp,10,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1591869,1589516.5,2352.5,I,7
1,I:9,exp,exp,12,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1469136,1589516.5,-120380.5,I,9
1,I:11,exp,exp,14,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1532541,1589516.5,-56975.5,I,11
1,I:13,exp,exp,16,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1649545,1589516.5,60028.5,I,13
1,I:15,exp,exp,18,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1546672,1589516.5,-42844.5,I,15
1,I:17,exp,exp,20,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1593183,1589516.5,3666.5,I,17
1,I:19,exp,exp,22,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1571794,1589516.5,-17722.5,I,19
1,I:21,exp,exp,24,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1542687,1589516.5,-46829.5,I,21
1,I:23,exp,exp,26,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1488768,1589516.5,-100748.5,I,23
1,J:24,H2O,control,,,,0,H2O,H2O,1541328,1589516.5,-48188.5,J,24
1,J:18,NEB (+),control,,,,35,NEB SolA,NEB SolB,2002035,1589516.5,412518.5,J,18
1,J:12,NEB (-),control,,,,0,NEB SolA,NEB SolB,1633496,1589516.5,43979.5,J,12
1,J:6,ProtMix Control,control,,,,35,b.next eng mix,NEB SolB,1520897,1589516.5,-68619.5,J,6
1,K:1,exp,exp,4,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1414499,1589516.5,-175017.5,K,1
1,K:3,exp,exp,6,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1479813,1589516.5,-109703.5,K,3
1,K:5,exp,exp,8,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1531181,1589516.5,-58335.5,K,5
1,K:7,exp,exp,10,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1653980,1589516.5,64463.5,K,7
1,K:9,exp,exp,12,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1554023,1589516.5,-35493.5,K,9
1,K:11,exp,exp,14,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1628465,1589516.5,38948.5,K,11
1,K:13,exp,exp,16,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1635868,1589516.5,46351.5,K,13
1,K:15,exp,exp,18,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1601938,1589516.5,12421.5,K,15
1,K:17,exp,exp,20,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1554756,1589516.5,-34760.5,K,17
1,K:19,exp,exp,22,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1545961,1589516.5,-43555.5,K,19
1,K:21,exp,exp,24,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1580327,1589516.5,-9189.5,K,21
1,K:23,exp,exp,26,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1451766,1589516.5,-137750.5,K,23
1,M:1,exp,exp,4,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1415601,1589516.5,-173915.5,M,1
1,M:3,exp,exp,6,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1440471,1589516.5,-149045.5,M,3
1,M:5,exp,exp,8,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1466010,1589516.5,-123506.5,M,5
1,M:7,exp,exp,10,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1592719,1589516.5,3202.5,M,7
1,M:9,exp,exp,12,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1499680,1589516.5,-89836.5,M,9
1,M:11,exp,exp,14,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1635120,1589516.5,45603.5,M,11
1,M:13,exp,exp,16,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1625351,1589516.5,35834.5,M,13
1,M:15,exp,exp,18,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1556114,1589516.5,-33402.5,M,15
1,M:17,exp,exp,20,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1548330,1589516.5,-41186.5,M,17
1,M:19,exp,exp,22,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1616646,1589516.5,27129.5,M,19
1,M:21,exp,exp,24,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1554662,1589516.5,-34854.5,M,21
1,M:23,exp,exp,26,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1442456,1589516.5,-147060.5,M,23
1,N:24,NEB (+),control,,,,35,NEB SolA,NEB SolB,2169905,1589516.5,580388.5,N,24
1,N:18,NEB (-),control,,,,0,NEB SolA,NEB SolB,1510147,1589516.5,-79369.5,N,18
1,N:12,ProtMix Control,control,,,,35,b.next eng mix,NEB SolB,1510165,1589516.5,-79351.5,N,12
1,N:6,H2O,control,,,,0,H2O,H2O,1538266,1589516.5,-51250.5,N,6
1,O:1,exp,exp,4,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1348928,1589516.5,-240588.5,O,1
1,O:3,exp,exp,6,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1422827,1589516.5,-166689.5,O,3
1,O:5,exp,exp,8,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1461251,1589516.5,-128265.5,O,5
1,O:7,exp,exp,10,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1619176,1589516.5,29659.5,O,7
1,O:9,exp,exp,12,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1553458,1589516.5,-36058.5,O,9
1,O:11,exp,exp,14,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1569260,1589516.5,-20256.5,O,11
1,O:13,exp,exp,16,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1538928,1589516.5,-50588.5,O,13
1,O:15,exp,exp,18,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1539751,1589516.5,-49765.5,O,15
1,O:17,exp,exp,20,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1536078,1589516.5,-53438.5,O,17
1,O:19,exp,exp,22,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1407735,1589516.5,-181781.5,O,19
