,Well,Label,Tag,Mg,T7RNAP,Ribosome,EnergyMix,ProtMix,DNA,Row,Column
57,C:15,exp,exp,18.0,5.0,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,C,15
58,E:15,exp,exp,18.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,E,15
59,G:15,exp,exp,18.0,15.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,G,15
60,I:15,exp,exp,18.0,10.0,0.9,b.next eng mix,b.next prot mix 03-1,deGFP,I,15
61,K:15,exp,exp,18.0,10.0,1.26,b.next eng mix,b.next prot mix 03-1,deGFP,K,15
62,M:15,exp,exp,18.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,M,15
63,O:15,exp,exp,18.0,10.0,2.16,b.next eng mix,b.next prot mix 03-1,deGFP,O,15
64,A:17,exp,exp,20.0,2.5,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,A,17
65,C:17,exp,exp,20.0,5.0,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,C,17
66,E:17,exp,exp,20.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,E,17
67,G:17,exp,exp,20.0,15.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,G,17
68,I:17,exp,exp,20.0,10.0,0.9,b.next eng mix,b.next prot mix 03-1,deGFP,I,17
69,K:17,exp,exp,20.0,10.0,1.26,b.next eng mix,b.next prot mix 03-1,deGFP,K,17
70,M:17,exp,exp,20.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,M,17
71,O:17,exp,exp,20.0,10.0,2.16,b.next eng mix,b.next prot mix 03-1,deGFP,O,17
72,A:19,exp,exp,22.0,2.5,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,A,19
73,C:19,exp,exp,22.0,5.0,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,C,19
74,E:19,exp,exp,22.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,E,19
75,G:19,exp,exp,22.0,15.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,G,19
76,I:19,exp,exp,22.0,10.0,0.9,b.next eng mix,b.next prot mix 03-1,deGFP,I,19
77,K:19,exp,exp,22.0,10.0,1.26,b.next eng mix,b.next prot mix 03-1,deGFP,K,19
